gemeente,jaar_vkl,incident_count,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Aantal incidenten per 1000 inwoners
Beemster,2015,131,8903,14.714141300685162
Beemster,2016,191,8958,21.321723599017638
Beemster,2017,179,9205,19.445953286257467
Beesel,2008,51,13643,3.73818075203401
Beesel,2009,29,13795,2.102210945994926
Beesel,2010,72,13902,5.179110919292188
Beesel,2011,49,13844,3.539439468361745
Beesel,2012,40,13742,2.910784456411003
Beesel,2013,48,13688,3.506721215663355
Beesel,2014,38,13617,2.7906293603583756
Beesel,2015,74,13511,5.47701872548294
Beesel,2016,55,13388,4.108156558111742
Beesel,2017,69,13405,5.147333084669899
Berg en Dal,2008,189,,
Berg en Dal,2009,122,,
Berg en Dal,2010,139,,
Berg en Dal,2011,111,,
Berg en Dal,2012,102,,
Berg en Dal,2013,118,,
Berg en Dal,2014,118,,
Berg en Dal,2015,169,,
Berg en Dal,2016,167,34574,4.830219239891248
Berg en Dal,2017,130,34764,3.7395006328385687
Bergeijk,2008,143,18099,7.900989004917399
Bergeijk,2009,115,18087,6.358157792889921
Bergeijk,2010,132,18061,7.3085654171972765
Bergeijk,2011,99,18073,5.477784540474742
Bergeijk,2012,89,18123,4.910886718534459
Bergeijk,2013,76,18191,4.177890165466439
Bergeijk,2014,63,18256,3.450920245398773
Bergeijk,2015,70,18209,3.8442528420012083
Bergeijk,2016,69,18253,3.780200514983838
Bergeijk,2017,81,18342,4.416094210009814
Bergen op Zoom,2008,491,65242,7.52582692130836
Bergen op Zoom,2009,280,65582,4.2694641822451285
Bergen op Zoom,2010,423,65845,6.424177993773255
Bergen op Zoom,2011,346,66074,5.236552955776856
Bergen op Zoom,2012,458,66130,6.9257523060638135
Bergen op Zoom,2013,505,66287,7.618386712326701
Bergen op Zoom,2014,509,66419,7.663469790270857
Bergen op Zoom,2015,547,66320,8.24788902291918
Bergen op Zoom,2016,644,66237,9.722662560200492
Bergen op Zoom,2017,512,66164,7.738347137416117
Berkelland,2008,361,45150,7.995570321151717
Berkelland,2009,240,45142,5.316556643480573
Berkelland,2010,333,44978,7.403619547334252
Berkelland,2011,264,44863,5.884581949490672
Berkelland,2012,231,44911,5.1435060452895724
Berkelland,2013,267,44769,5.963948267774576
Berkelland,2014,244,44666,5.462768101016433
Berkelland,2015,295,44364,6.6495356595437745
Berkelland,2016,272,44437,6.121025271733015
Berkelland,2017,247,44238,5.58343505583435
Bernheze,2008,70,29663,2.359842227691063
Bernheze,2009,55,29615,1.857166976194496
Bernheze,2010,186,29655,6.2721294891249375
Bernheze,2011,120,29728,4.036598493003229
Bernheze,2012,150,29802,5.0332192470304005
Bernheze,2013,202,29775,6.784214945424013
Bernheze,2014,190,29690,6.399461098012798
Bernheze,2015,180,29729,6.0546940697635305
Bernheze,2016,222,29880,7.429718875502008
Bernheze,2017,157,30252,5.189739521353959
Best,2008,207,29089,7.1160919935370766
Best,2009,145,29017,4.997070682703243
Best,2010,216,28953,7.460366801367734
Best,2011,197,28810,6.837903505727178
Best,2012,170,28696,5.924170616113743
Best,2013,198,28637,6.91413206690645
Best,2014,152,28617,5.311528112660307
Best,2015,178,28737,6.194105160594356
Best,2016,220,28976,7.592490336830481
Best,2017,230,29180,7.882111034955449
Beuningen,2008,201,25321,7.9380751155167655
Beuningen,2009,119,25304,4.702813784381917
Beuningen,2010,173,25481,6.789372473607786
Beuningen,2011,163,25507,6.3904026345709015
Beuningen,2012,201,25433,7.903117996304014
Beuningen,2013,203,25324,8.016111198862738
Beuningen,2014,175,25288,6.920278392913635
Beuningen,2015,227,25282,8.978720037971678
Beuningen,2016,232,25289,9.173949147850845
Beuningen,2017,311,25424,12.23253618628068
Beverwijk,2008,380,37347,10.174846707901573
Beverwijk,2009,325,38284,8.48918608295894
Beverwijk,2010,355,38883,9.129953964457476
Beverwijk,2011,363,39329,9.229830405044623
Beverwijk,2012,339,39844,8.508181909446842
Beverwijk,2013,326,40070,8.1357624157724
Beverwijk,2014,307,40093,7.6571970169356245
Beverwijk,2015,285,40182,7.092728087203225
Beverwijk,2016,402,40318,9.970732675231906
Beverwijk,2017,263,40709,6.460487852808962
De Bilt,2008,182,41998,4.333539692366303
De Bilt,2009,192,41984,4.573170731707317
De Bilt,2010,385,42017,9.162957850393889
De Bilt,2011,270,42049,6.421080168374991
De Bilt,2012,392,42079,9.31581073694717
De Bilt,2013,332,42032,7.898743814236772
De Bilt,2014,262,42036,6.232752878485107
De Bilt,2015,293,42169,6.948232113637981
De Bilt,2016,317,42375,7.480825958702065
De Bilt,2017,342,42754,7.999251532020395
Binnenmaas,2008,205,28797,7.118797096919818
Binnenmaas,2009,160,28862,5.543621370660384
Binnenmaas,2010,199,28926,6.8796238678005945
Binnenmaas,2011,183,28967,6.317533745296371
Binnenmaas,2012,179,28962,6.180512395552793
Binnenmaas,2013,146,28964,5.040740229250104
Binnenmaas,2014,170,28710,5.921281783350748
Binnenmaas,2015,182,28656,6.351200446677834
Binnenmaas,2016,187,28771,6.499600291960655
Binnenmaas,2017,247,29122,8.481560332394753
Bladel,2008,177,19114,9.260228105053889
Bladel,2009,102,19129,5.332218098175544
Bladel,2010,171,19177,8.91693174114825
Bladel,2011,105,19386,5.416279789538843
Bladel,2012,120,19582,6.128076805229292
Bladel,2013,104,19635,5.296664120193531
Bladel,2014,99,19834,4.991428859534133
Bladel,2015,123,19869,6.190548089989431
Bladel,2016,132,19966,6.611239106481018
Bladel,2017,111,20063,5.532572396949609
Blaricum,2008,34,9036,3.7627268702965915
Blaricum,2009,12,8987,1.335262045176366
Blaricum,2010,86,8955,9.6035734226689
Blaricum,2011,50,8959,5.580980020091529
Blaricum,2012,48,9038,5.310909493250719
Blaricum,2013,51,9107,5.600087844515208
Blaricum,2014,59,9094,6.4877941499890035
Blaricum,2015,48,9312,5.154639175257732
Blaricum,2016,52,9622,5.404281854084389
Blaricum,2017,58,10201,5.685717086560141
Bloemendaal,2008,129,16873,7.645350560066378
Bloemendaal,2009,95,22069,4.3046807739362904
Bloemendaal,2010,163,22023,7.401353130817782
Bloemendaal,2011,146,22039,6.6246199918326605
Bloemendaal,2012,139,22056,6.302140007254262
Bloemendaal,2013,122,22195,5.496733498535706
Bloemendaal,2014,110,22059,4.986626773652477
Bloemendaal,2015,151,22256,6.784687275341481
Bloemendaal,2016,156,22296,6.996770721205597
Bloemendaal,2017,148,22826,6.483834224130377
Bodegraven-Reeuwijk,2008,271,,
Bodegraven-Reeuwijk,2009,172,,
Bodegraven-Reeuwijk,2010,279,,
Bodegraven-Reeuwijk,2011,214,32728,6.538743583475923
Bodegraven-Reeuwijk,2012,235,32834,7.15721508192727
Bodegraven-Reeuwijk,2013,244,32817,7.435170795624219
Bodegraven-Reeuwijk,2014,240,32910,7.292616226071103
Bodegraven-Reeuwijk,2015,243,33208,7.317513852083835
Bodegraven-Reeuwijk,2016,343,33451,10.253804071627156
Bodegraven-Reeuwijk,2017,380,33733,11.264933447958972
Boekel,2008,20,9646,2.073398299813394
Boekel,2009,15,9692,1.5476681799422203
Boekel,2010,38,9772,3.888661481784691
Boekel,2011,32,9865,3.243791180942727
Boekel,2012,33,9967,3.31092605598475
Boekel,2013,37,10062,3.6772013516199564
Boekel,2014,17,10089,1.6850034691247895
Boekel,2015,23,10119,2.272951872714695
Boekel,2016,44,10254,4.291008386970939
Boekel,2017,37,10414,3.5529095448434798
Ten Boer,2008,51,7276,7.009345794392523
Ten Boer,2009,52,7447,6.982677588290587
Ten Boer,2010,31,7427,4.173959876127642
Ten Boer,2011,46,7454,6.171183257311511
Ten Boer,2012,39,7477,5.21599572020864
Ten Boer,2013,38,7500,5.066666666666666
Ten Boer,2014,35,7479,4.679770022730311
Ten Boer,2015,39,7452,5.233494363929147
Ten Boer,2016,40,7352,5.4406964091403704
Ten Boer,2017,31,7288,4.2535675082327105
