code,name,regioFacet,level,url
0301,Zutphen,tcm:106-353501-1024,4,/regioinformatie/gemeente/zutphen/
0003,Appingedam,tcm:106-353503-1024,4,/regioinformatie/gemeente/appingedam/
0005,Bedum,tcm:106-353504-1024,4,/regioinformatie/gemeente/bedum/
0007,Bellingwedde,tcm:106-353505-1024,4,/regioinformatie/gemeente/bellingwedde/
1663,De Marne,tcm:106-353506-1024,4,/regioinformatie/gemeente/de-marne/
0010,Delfzijl,tcm:106-353507-1024,4,/regioinformatie/gemeente/delfzijl/
1651,Eemsmond,tcm:106-353508-1024,4,/regioinformatie/gemeente/eemsmond/
0014,Groningen (Gr),tcm:106-353509-1024,4,/regioinformatie/gemeente/groningen/
0015,Grootegast,tcm:106-353510-1024,4,/regioinformatie/gemeente/grootegast/
0017,Haren,tcm:106-353511-1024,4,/regioinformatie/gemeente/haren/
0018,Hoogezand-Sappemeer,tcm:106-353512-1024,4,/regioinformatie/gemeente/hoogezand-sappemeer/
0022,Leek,tcm:106-353513-1024,4,/regioinformatie/gemeente/leek/
0024,Loppersum,tcm:106-353514-1024,4,/regioinformatie/gemeente/loppersum/
0025,Marum,tcm:106-353515-1024,4,/regioinformatie/gemeente/marum/
1987,Menterwolde,tcm:106-353516-1024,4,/regioinformatie/gemeente/menterwolde/
1895,Oldambt,tcm:106-353517-1024,4,/regioinformatie/gemeente/oldambt/
0765,Pekela,tcm:106-353518-1024,4,/regioinformatie/gemeente/pekela/
0040,Slochteren,tcm:106-353519-1024,4,/regioinformatie/gemeente/slochteren/
0037,Stadskanaal,tcm:106-353520-1024,4,/regioinformatie/gemeente/stadskanaal/
0009,Ten Boer,tcm:106-353521-1024,4,/regioinformatie/gemeente/ten-boer/
0047,Veendam,tcm:106-353522-1024,4,/regioinformatie/gemeente/veendam/
0048,Vlagtwedde,tcm:106-353523-1024,4,/regioinformatie/gemeente/vlagtwedde/
0053,Winsum,tcm:106-353524-1024,4,/regioinformatie/gemeente/winsum/
0056,Zuidhorn,tcm:106-353525-1024,4,/regioinformatie/gemeente/zuidhorn/
0888,Beek,tcm:106-353527-1024,4,/regioinformatie/gemeente/beek/
0889,Beesel,tcm:106-353528-1024,4,/regioinformatie/gemeente/beesel/
0893,Bergen (L),tcm:106-353529-1024,4,/regioinformatie/gemeente/bergen-l/
0899,Brunssum,tcm:106-353530-1024,4,/regioinformatie/gemeente/brunssum/
1711,Echt-Susteren,tcm:106-353531-1024,4,/regioinformatie/gemeente/echt-susteren/
1903,Eijsden-Margraten,tcm:106-353532-1024,4,/regioinformatie/gemeente/eijsden-margraten/
0907,Gennep,tcm:106-353533-1024,4,/regioinformatie/gemeente/gennep/
1729,Gulpen-Wittem,tcm:106-353534-1024,4,/regioinformatie/gemeente/gulpen-wittem/
0917,Heerlen,tcm:106-353535-1024,4,/regioinformatie/gemeente/heerlen/
1507,Horst aan de Maas,tcm:106-353536-1024,4,/regioinformatie/gemeente/horst-aan-de-maas/
0928,Kerkrade,tcm:106-353537-1024,4,/regioinformatie/gemeente/kerkrade/
0882,Landgraaf,tcm:106-353538-1024,4,/regioinformatie/gemeente/landgraaf/
1640,Leudal,tcm:106-353539-1024,4,/regioinformatie/gemeente/leudal/
1641,Maasgouw,tcm:106-353540-1024,4,/regioinformatie/gemeente/maasgouw/
0935,Maastricht,tcm:106-353541-1024,4,/regioinformatie/gemeente/maastricht/
0938,Meerssen,tcm:106-353542-1024,4,/regioinformatie/gemeente/meerssen/
0944,Mook en Middelaar,tcm:106-353543-1024,4,/regioinformatie/gemeente/mook-en-middelaar/
0946,Nederweert,tcm:106-353544-1024,4,/regioinformatie/gemeente/nederweert/
0951,Nuth,tcm:106-353545-1024,4,/regioinformatie/gemeente/nuth/
0881,Onderbanken,tcm:106-353546-1024,4,/regioinformatie/gemeente/onderbanken/
1894,Peel en Maas,tcm:106-353547-1024,4,/regioinformatie/gemeente/peel-en-maas/
1669,Roerdalen,tcm:106-353548-1024,4,/regioinformatie/gemeente/roerdalen/
0957,Roermond,tcm:106-353549-1024,4,/regioinformatie/gemeente/roermond/
0962,Schinnen,tcm:106-353550-1024,4,/regioinformatie/gemeente/schinnen/
0965,Simpelveld,tcm:106-353551-1024,4,/regioinformatie/gemeente/simpelveld/
1883,Sittard-Geleen,tcm:106-353552-1024,4,/regioinformatie/gemeente/sittard-geleen/
0971,Stein,tcm:106-353553-1024,4,/regioinformatie/gemeente/stein/
0981,Vaals,tcm:106-353554-1024,4,/regioinformatie/gemeente/vaals/
0994,Valkenburg aan de Geul,tcm:106-353555-1024,4,/regioinformatie/gemeente/valkenburg-aan-de-geul/
0983,Venlo,tcm:106-353556-1024,4,/regioinformatie/gemeente/venlo/
0984,Venray,tcm:106-353557-1024,4,/regioinformatie/gemeente/venray/
0986,Voerendaal,tcm:106-353558-1024,4,/regioinformatie/gemeente/voerendaal/
0988,Weert,tcm:106-353559-1024,4,/regioinformatie/gemeente/weert/
0738,Aalburg,tcm:106-353561-1024,4,/regioinformatie/gemeente/aalburg/
1723,Alphen-Chaam,tcm:106-353562-1024,4,/regioinformatie/gemeente/alphen-chaam/
0743,Asten,tcm:106-353563-1024,4,/regioinformatie/gemeente/asten/
0744,Baarle-Nassau,tcm:106-353564-1024,4,/regioinformatie/gemeente/baarle-nassau/
1724,Bergeijk,tcm:106-353565-1024,4,/regioinformatie/gemeente/bergeijk/
0748,Bergen op Zoom,tcm:106-353566-1024,4,/regioinformatie/gemeente/bergen-op-zoom/
