Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2012,Veendam,27920,13808,14112,,,,,,,,,,
2012,Veenendaal,62870,30857,32013,,,,,,,,,,
2012,Veere,21959,10994,10965,,,,,,,,,,
2012,Veldhoven,43880,21879,22001,,,,,,,,,,
2012,Velsen,67286,33290,33996,,,,,,,,,,
2012,Venlo,100027,49599,50428,,,,,,,,,,
2012,Venray,42959,21628,21331,,,,,,,,,,
2012,Vianen,19670,9679,9991,,,,,,,,,,
2012,Vlaardingen,71042,34710,36332,,,,,,,,,,
2012,Vlieland,1105,553,552,,,,,,,,,,
2012,Vlissingen,44502,22154,22348,,,,,,,,,,
2012,Voerendaal,12664,6314,6350,,,,,,,,,,
2012,Voorschoten,24310,11731,12579,,,,,,,,,,
2012,Voorst,23719,11843,11876,,,,,,,,,,
2012,Vught,25789,12728,13061,,,,,,,,,,
2012,Waadhoeke,,,,,,,,,,,,,
2012,Waalre,16503,8143,8360,,,,,,,,,,
2012,Waalwijk,46422,23105,23317,,,,,,,,,,
2012,Waddinxveen,25280,12601,12679,,,,,,,,,,
2012,Wageningen,37049,17766,19283,,,,,,,,,,
2012,Wassenaar,25762,12199,13563,,,,,,,,,,
2012,Waterland,17010,8480,8530,,,,,,,,,,
2012,Weert,48668,24343,24325,,,,,,,,,,
2012,Weesp,18022,8728,9294,,,,,,,,,,
2012,Werkendam,26423,13187,13236,,,,,,,,,,
2012,West Maas en Waal,18325,9129,9196,,,,,,,,,,
2012,Westerveld,19198,9555,9643,,,,,,,,,,
2012,Westervoort,15294,7574,7720,,,,,,,,,,
2012,Westerwolde,,,,,,,,,,,,,
2012,Westland,101980,50801,51179,,,,,,,,,,
2012,Weststellingwerf,25780,12920,12860,,,,,,,,,,
2012,Westvoorne,13901,6903,6998,,,,,,,,,,
2012,Wierden,23824,11927,11897,,,,,,,,,,
2012,Wijchen,40734,20096,20638,,,,,,,,,,
2012,Wijdemeren,23297,11413,11884,,,,,,,,,,
2012,Wijk bij Duurstede,23064,11395,11669,,,,,,,,,,
2012,Winsum,13987,6956,7031,,,,,,,,,,
2012,Winterswijk,28946,14385,14561,,,,,,,,,,
2012,Woensdrecht,21675,10862,10813,,,,,,,,,,
2012,Woerden,50052,24730,25322,,,,,,,,,,
2012,Wormerland,15781,7893,7888,,,,,,,,,,
2012,Woudenberg,12034,6024,6010,,,,,,,,,,
2012,Woudrichem,14416,7213,7203,,,,,,,,,,
2012,Zaanstad,148281,73312,74969,,,,,,,,,,
2012,Zaltbommel,26774,13400,13374,,,,,,,,,,
2012,Zandvoort,16651,8002,8649,,,,,,,,,,
2012,Zederik,13434,6680,6754,,,,,,,,,,
2012,Zeewolde,21288,10800,10488,,,,,,,,,,
2012,Zeist,61233,29509,31724,,,,,,,,,,
2012,Zevenaar,32429,15962,16467,,,,,,,,,,
2012,Zoetermeer,122331,59954,62377,,,,,,,,,,
2012,Zoeterwoude,8171,4042,4129,,,,,,,,,,
2012,Zuidhorn,18681,9306,9375,,,,,,,,,,
2012,Zuidplas,40673,20178,20495,,,,,,,,,,
2012,Zundert,21221,10864,10357,,,,,,,,,,
2012,Zutphen,47144,23024,24120,,,,,,,,,,
2012,Zwartewaterland,22048,11176,10872,,,,,,,,,,
2012,Zwijndrecht,44499,21642,22857,,,,,,,,,,
2012,Zwolle,121527,59280,62247,,,,,,,,,,
